2022-08-16 09:44:13  [ flink-akka.actor.default-dispatcher-4:1 ] - [ INFO ]  Slf4jLogger started
2022-08-16 09:44:13  [ flink-metrics-6:105 ] - [ INFO ]  Slf4jLogger started
2022-08-16 09:44:14  [ main:490 ] - [ WARN ]  Log file environment variable 'log.file' is not set.
2022-08-16 09:44:14  [ main:490 ] - [ WARN ]  JobManager log files are unavailable in the web dashboard. Log file location not found in environment variable 'log.file' or configuration key 'web.log.path'.
2022-08-16 09:44:15  [ Source: TableSourceScan(table=[[default_catalog, default_database, clickTable, filter=[equals(user_name, 'Bob')], project=[user_name, url]]], fields=[user_name, url]) -> Calc(select=[CAST(_UTF-16LE'Bob':VARCHAR(2147483647) CHARACTER SET "UTF-16LE") AS user_name, url], where=[(user_name = _UTF-16LE'Bob')]) -> Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) (2/8)#0:1203 ] - [ WARN ]  The operator name Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) exceeded the 80 characters length limit and was truncated.
2022-08-16 09:44:15  [ Source: TableSourceScan(table=[[default_catalog, default_database, clickTable, filter=[equals(user_name, 'Bob')], project=[user_name, url]]], fields=[user_name, url]) -> Calc(select=[CAST(_UTF-16LE'Bob':VARCHAR(2147483647) CHARACTER SET "UTF-16LE") AS user_name, url], where=[(user_name = _UTF-16LE'Bob')]) -> Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) (7/8)#0:1204 ] - [ WARN ]  The operator name Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) exceeded the 80 characters length limit and was truncated.
2022-08-16 09:44:15  [ Source: TableSourceScan(table=[[default_catalog, default_database, clickTable, filter=[equals(user_name, 'Bob')], project=[user_name, url]]], fields=[user_name, url]) -> Calc(select=[CAST(_UTF-16LE'Bob':VARCHAR(2147483647) CHARACTER SET "UTF-16LE") AS user_name, url], where=[(user_name = _UTF-16LE'Bob')]) -> Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) (6/8)#0:1204 ] - [ WARN ]  The operator name Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) exceeded the 80 characters length limit and was truncated.
2022-08-16 09:44:15  [ Source: TableSourceScan(table=[[default_catalog, default_database, clickTable, filter=[equals(user_name, 'Bob')], project=[user_name, url]]], fields=[user_name, url]) -> Calc(select=[CAST(_UTF-16LE'Bob':VARCHAR(2147483647) CHARACTER SET "UTF-16LE") AS user_name, url], where=[(user_name = _UTF-16LE'Bob')]) -> Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) (8/8)#0:1204 ] - [ WARN ]  The operator name Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) exceeded the 80 characters length limit and was truncated.
2022-08-16 09:44:15  [ Source: TableSourceScan(table=[[default_catalog, default_database, clickTable, filter=[equals(user_name, 'Bob')], project=[user_name, url]]], fields=[user_name, url]) -> Calc(select=[CAST(_UTF-16LE'Bob':VARCHAR(2147483647) CHARACTER SET "UTF-16LE") AS user_name, url], where=[(user_name = _UTF-16LE'Bob')]) -> Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) (4/8)#0:1203 ] - [ WARN ]  The operator name Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) exceeded the 80 characters length limit and was truncated.
2022-08-16 09:44:15  [ Source: TableSourceScan(table=[[default_catalog, default_database, clickTable, filter=[equals(user_name, 'Bob')], project=[user_name, url]]], fields=[user_name, url]) -> Calc(select=[CAST(_UTF-16LE'Bob':VARCHAR(2147483647) CHARACTER SET "UTF-16LE") AS user_name, url], where=[(user_name = _UTF-16LE'Bob')]) -> Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) (5/8)#0:1203 ] - [ WARN ]  The operator name Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) exceeded the 80 characters length limit and was truncated.
2022-08-16 09:44:15  [ Source: TableSourceScan(table=[[default_catalog, default_database, clickTable, filter=[equals(user_name, 'Bob')], project=[user_name, url]]], fields=[user_name, url]) -> Calc(select=[CAST(_UTF-16LE'Bob':VARCHAR(2147483647) CHARACTER SET "UTF-16LE") AS user_name, url], where=[(user_name = _UTF-16LE'Bob')]) -> Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) (3/8)#0:1203 ] - [ WARN ]  The operator name Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) exceeded the 80 characters length limit and was truncated.
2022-08-16 09:44:15  [ Source: TableSourceScan(table=[[default_catalog, default_database, clickTable, filter=[equals(user_name, 'Bob')], project=[user_name, url]]], fields=[user_name, url]) -> Calc(select=[CAST(_UTF-16LE'Bob':VARCHAR(2147483647) CHARACTER SET "UTF-16LE") AS user_name, url], where=[(user_name = _UTF-16LE'Bob')]) -> Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) (1/8)#0:1203 ] - [ WARN ]  The operator name Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) exceeded the 80 characters length limit and was truncated.
2022-08-16 09:44:15  [ Source: TableSourceScan(table=[[default_catalog, default_database, clickTable, filter=[equals(user_name, 'Bob')], project=[user_name, url]]], fields=[user_name, url]) -> Calc(select=[CAST(_UTF-16LE'Bob':VARCHAR(2147483647) CHARACTER SET "UTF-16LE") AS user_name, url], where=[(user_name = _UTF-16LE'Bob')]) -> Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) (7/8)#0:1230 ] - [ WARN ]  The operator name Calc(select=[CAST(_UTF-16LE'Bob':VARCHAR(2147483647) CHARACTER SET "UTF-16LE") AS user_name, url], where=[(user_name = _UTF-16LE'Bob')]) exceeded the 80 characters length limit and was truncated.
2022-08-16 09:44:15  [ Source: TableSourceScan(table=[[default_catalog, default_database, clickTable, filter=[equals(user_name, 'Bob')], project=[user_name, url]]], fields=[user_name, url]) -> Calc(select=[CAST(_UTF-16LE'Bob':VARCHAR(2147483647) CHARACTER SET "UTF-16LE") AS user_name, url], where=[(user_name = _UTF-16LE'Bob')]) -> Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) (6/8)#0:1230 ] - [ WARN ]  The operator name Calc(select=[CAST(_UTF-16LE'Bob':VARCHAR(2147483647) CHARACTER SET "UTF-16LE") AS user_name, url], where=[(user_name = _UTF-16LE'Bob')]) exceeded the 80 characters length limit and was truncated.
2022-08-16 09:44:15  [ Source: TableSourceScan(table=[[default_catalog, default_database, clickTable, filter=[equals(user_name, 'Bob')], project=[user_name, url]]], fields=[user_name, url]) -> Calc(select=[CAST(_UTF-16LE'Bob':VARCHAR(2147483647) CHARACTER SET "UTF-16LE") AS user_name, url], where=[(user_name = _UTF-16LE'Bob')]) -> Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) (8/8)#0:1230 ] - [ WARN ]  The operator name Calc(select=[CAST(_UTF-16LE'Bob':VARCHAR(2147483647) CHARACTER SET "UTF-16LE") AS user_name, url], where=[(user_name = _UTF-16LE'Bob')]) exceeded the 80 characters length limit and was truncated.
2022-08-16 09:44:15  [ Source: TableSourceScan(table=[[default_catalog, default_database, clickTable, filter=[equals(user_name, 'Bob')], project=[user_name, url]]], fields=[user_name, url]) -> Calc(select=[CAST(_UTF-16LE'Bob':VARCHAR(2147483647) CHARACTER SET "UTF-16LE") AS user_name, url], where=[(user_name = _UTF-16LE'Bob')]) -> Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) (2/8)#0:1230 ] - [ WARN ]  The operator name Calc(select=[CAST(_UTF-16LE'Bob':VARCHAR(2147483647) CHARACTER SET "UTF-16LE") AS user_name, url], where=[(user_name = _UTF-16LE'Bob')]) exceeded the 80 characters length limit and was truncated.
2022-08-16 09:44:15  [ Source: TableSourceScan(table=[[default_catalog, default_database, clickTable, filter=[equals(user_name, 'Bob')], project=[user_name, url]]], fields=[user_name, url]) -> Calc(select=[CAST(_UTF-16LE'Bob':VARCHAR(2147483647) CHARACTER SET "UTF-16LE") AS user_name, url], where=[(user_name = _UTF-16LE'Bob')]) -> Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) (1/8)#0:1230 ] - [ WARN ]  The operator name Calc(select=[CAST(_UTF-16LE'Bob':VARCHAR(2147483647) CHARACTER SET "UTF-16LE") AS user_name, url], where=[(user_name = _UTF-16LE'Bob')]) exceeded the 80 characters length limit and was truncated.
2022-08-16 09:44:15  [ Source: TableSourceScan(table=[[default_catalog, default_database, clickTable, filter=[equals(user_name, 'Bob')], project=[user_name, url]]], fields=[user_name, url]) -> Calc(select=[CAST(_UTF-16LE'Bob':VARCHAR(2147483647) CHARACTER SET "UTF-16LE") AS user_name, url], where=[(user_name = _UTF-16LE'Bob')]) -> Sink: Sink(table=[default_catalog.default_database.printOutTable], fields=[user_name, url]) (5/8)#0:1230 ] - [ WARN ]  The operator name Calc(select=[CAST(_UTF-16LE'Bob':VARCHAR(2147483647) CHARACTER SET "UTF-16LE") AS user_name, url], where=[(user_name = _UTF-16LE'Bob')]) exceeded the 80 characters length limit and was truncated.
